Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time
MATH 172,Discrete & Continuous Mathematics [Sec A],3.0,Prof. L. Asiedu,CS LAB,Thursday,2:00 PM - 4:30 PM
CSCD 119,Introduction to Computer Science [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS1,Thursday,5:00 PM - 6:00 PM
INFT 115,Information Technology Foundation [Sec A],3.0,R. W. Ambeh-Doh,Baobab RM5,Wednesday,5:00 PM - 6:00 PM
BBIS 213,IT for Business (MOS) [Sec A],3.0,G. Preprah Tanoah,Baobab RM3,Friday,10:00 AM - 12:30 PM
BBIS 260,Web and Social Management Tools [Sec A],3.0,G. Preprah Tanoah,CS1,Wednesday,10:00 AM - 12:30 PM
COSC 224,Object-Oriented Programming [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS1,Wednesday,2:00 PM - 4:30 PM
COSC 272 / INFT 372,Data Communication & Computer Network II [Sec A] / Network Project Management,3.0,E. Okoe,CS1,Tuesday,2:00 PM - 4:30 PM
STAT 202,Statistical Methods for Health Sciences [Sec A],3.0,O. Osei-Tutu,GEN. LAB,Wednesday,2:00 PM - 4:30 PM
STAT 202,Statistical Methods for Health Sciences [HAC Sec A],3.0,O. Osei-Tutu,CS2,Friday,7:00 AM - 9:30 AM
STAT 202,Statistical Methods for Health Sciences [Sec B],3.0,O. Osei-Tutu,CS2,Tuesday,2:00 PM - 4:30 PM
INFT 281 / COSC 280 / BBIS 110,Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A],3.0,R. W. Ambeh-Doh,CS2,Wednesday,2:00 PM - 4:30 PM
MATH 214,Multivariable Calculus [Sec A],3.0,Dr. G. Biney,GEN. LAB,Wednesday,10:00 AM - 12:30 PM
BBIS 226,Business Process Modeling and Workflow [Sec A],3.0,Prof. W. Ofoe Larkotey,CS LAB,Tuesday,2:00 PM - 4:30 PM
COSC 240 / INFT 346,Systems Programming {Sec A] / DotNet Programming [Sec A],3.0,S. Ganu,GEN. LAB,Friday,7:00 AM - 9:30 AM
COSC 250 / BBIS 203,Computer Ethics [Sec A] / IT Professional Ethics and Practice [Sec A],3.0,S. Sebuabe,CS LAB,Friday,10:00 AM - 12:30 PM
COSC 480,Compiler Design [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS2,Tuesday,7:00 AM - 9:30 AM
COCS 364 / INFT 364,Research Methods [Sec A],3.0,Prof. P. Yaw Owusu Amoako,Baobab RM5,Monday,7:00 AM - 9:30 AM
BBIS 338,Enterprise Systems [Sec A],3.0,R. W. Ambeh-Doh,CS3,Monday,7:00 AM - 9:30 AM
INFT 480 / BBIS 304,Data Warehousing [Sec A] / Business Intelligence and Dataware Housing [Sec A],3.0,S. Ganu,Baobab RM3,Tuesday,7:00 AM - 9:30 AM
BBIS 488,Decision Support Systems [Sec A],3.0,S. Ganu,American High,Wednesday,7:00 AM - 9:30 AM
BBIS 432,IS Consultancy Practices Solution Develop [Sec A],3.0,Prof. W. Ofoe Larkotey,American High,Friday,10:00 AM - 12:30 PM
INFT 410,Internet-Enabled Applications Systems Development,3.0,S. Sebuabe,Baobab RM3,Wednesday,7:00 AM - 9:30 AM
INFT 340,Computer Vision: Concepts and Application [Sec A],3.0,S. Sebuabe,CS3,Wednesday,2:00 PM - 4:30 PM
COSC 346 / INFT 346,Software Engineering [Sec A] / Software Development Life Cycle [Sec A],3.0,R. Amponsah,CS1,Monday,10:00 AM - 12:30 PM
COSC 470,/ INFT 470 Computer & Cyber Forensics,3.0,M. Asare,CS1,Monday,7:00 AM - 9:30 AM
INFT 446,Systems and Network Administration [Sec A],3.0,M. Asare,CS3,Friday,7:00 AM - 9:30 AM
INFT 459 / COSC 352,Enterprise Information Security [Sec A] / Computer Security [Sec A],3.0,M. Doe,Baobab RM5,Thursday,10:00 AM - 12:30 PM
INFT 420,Computer-Human Interaction [Sec A],3.0,M. Doe,GEN. LAB,Monday,2:00 PM - 4:30 PM
COSC 370 / INFT 370,Operations Research [Sec A] / Management Science [Sec A],3.0,Dr. A. Adu-Sackey,CS LAB,Wednesday,2:00 PM - 4:30 PM
STAT 384,Probability and Statistics [Sec A],3.0,TBA,Baobab RM3,Thursday,10:00 AM - 12:30 PM
